absolute_path,relative_path,filename,parent_folder,file_size_bytes,page_count,sha256,classification,case_ids,case_names,page_ranges,previously_omitted,reason,visually_checked,render_directory
/Users/chim/Codex开发项目/案例展示网站/旧案例/SC-平面设计案例.pdf,旧案例/SC-平面设计案例.pdf,SC-平面设计案例.pdf,旧案例,167864578,17,6ef99c5c625aec58bde092da7e98d7e74fd7b889764d13408b7d3fd0b24af46e,LEGACY_REFERENCE,L001 | L002 | L003 | L004 | L005 | L006 | L007 | L008 | L009 | L010 | L011 | L012,仙兔策划·太空兔 Space Bunnies | 华南行 | 咖啡肆拾 Coffee Forty | MaxDona | 标志设计合集 I | 标志设计合集 II | 迪迈猫粮 | 胖福月饼 | hacinana | 春莱 ChunLai·品牌视觉 | 春莱 ChunLai·品牌升级 | 文柠记,L001–L012 = pages 2–13; page 1 cover; pages 14–17 pricing/notice,false,Legacy multi-case boundary/reference PDF; AI/PSD remains the formal asset authority.,true,case-audit-v3/pdf-renders/LEGACY-FLAT
/Users/chim/Codex开发项目/案例展示网站/旧案例/SC-摄影案例.pdf,旧案例/SC-摄影案例.pdf,SC-摄影案例.pdf,旧案例,231785833,21,71395317fce8166689c319be8cee43637f0663e10f77d9b015f4d1c6b8565cc1,LEGACY_REFERENCE,L013 | L014 | L015 | L016 | L017 | L018 | L019 | L020 | L021 | L022 | L023 | L024 | L025 | L026 | L027 | L028 | L029 | L030,骄慕·养生茶 | 骄慕·枸杞原浆 | 后谷咖啡 | 七港九·港九莓莓 | 七港九·茶饮系列 | PavoMea·饼干 | PavoMea·脆栗子 | PavoMea·玛德琳蛋糕 | ALASSIS·香薰蜡烛 | mosanana·眼镜 | 迷物家居 | CT BEE·咖啡与奶茶 | 紫庐·中西餐 | 李大妈把猪脚米线 | 乌铜走银·茶与工艺 | 乌铜走银·银器首饰 | 陇上花牛苹果汁 | 春莱 ChunLai·茶饮摄影,L013–L030 = pages 2–19; page 1 cover; pages 20–21 pricing/notice,false,Legacy multi-case boundary/reference PDF; AI/PSD remains the formal asset authority.,true,case-audit-v3/pdf-renders/LEGACY-PHOTO
/Users/chim/Codex开发项目/案例展示网站/新案例/250820-W² Concept Cafe/250820-W² Concept Cafe.pdf,新案例/250820-W² Concept Cafe/250820-W² Concept Cafe.pdf,250820-W² Concept Cafe.pdf,新案例/250820-W² Concept Cafe,4524503,33,350f079f2e41894a45cee165346705ea32e459da238792c4823b4c000eeddb38,NEW_CASE_FINAL,N001,W² Concept Cafe,pages 1–33,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N001
/Users/chim/Codex开发项目/案例展示网站/新案例/251015-粤有福手作/251015-粤有福手作.pdf,新案例/251015-粤有福手作/251015-粤有福手作.pdf,251015-粤有福手作.pdf,新案例/251015-粤有福手作,7551914,48,656e30effa8be87e607b6661ccaeeb66a79acd912a5a4e722bbcc3e11733a47d,NEW_CASE_FINAL,N002,粤有福手作,pages 1–48,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N002
/Users/chim/Codex开发项目/案例展示网站/新案例/251211-小满/251211-小满.pdf,新案例/251211-小满/251211-小满.pdf,251211-小满.pdf,新案例/251211-小满,6795483,36,e0c319d4ef08e7711a0dfe49288908ea51be8f2b35ddc7f100858daecca029bc,NEW_CASE_FINAL,N003,小满,pages 1–36,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N003
/Users/chim/Codex开发项目/案例展示网站/新案例/251224-三餐好乡邻/251224-三餐好乡邻.pdf,新案例/251224-三餐好乡邻/251224-三餐好乡邻.pdf,251224-三餐好乡邻.pdf,新案例/251224-三餐好乡邻,4058377,26,f055d357ce644e88df0872c652717c2dffc087c045f5b0b20b669ee4a83dd515,NEW_CASE_FINAL,N004,三餐好乡邻,pages 1–26,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N004
/Users/chim/Codex开发项目/案例展示网站/新案例/251229-水果老爸/251229-水果老爸.pdf,新案例/251229-水果老爸/251229-水果老爸.pdf,251229-水果老爸.pdf,新案例/251229-水果老爸,3917294,31,4c929cee4c6e3782e7ab2dad1e80ee36defb51f219d048ee194e3a9a5168f1bd,NEW_CASE_FINAL,N005,水果老爸 Fruits Pops,pages 1–31,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N005
/Users/chim/Codex开发项目/案例展示网站/新案例/260325-Oi·Coffee/260325-Oi·Coffee.pdf,新案例/260325-Oi·Coffee/260325-Oi·Coffee.pdf,260325-Oi·Coffee.pdf,新案例/260325-Oi·Coffee,6552238,41,2641daa1577cc00c43abbcb101dc9c6a75404d24e782916289f5493980f6bd36,NEW_CASE_FINAL,N006,Oi·Coffee,pages 1–41,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N006
/Users/chim/Codex开发项目/案例展示网站/新案例/260330-稻米香 · 湘菜小炒/260330-稻米香 · 湘菜小炒.pdf,新案例/260330-稻米香 · 湘菜小炒/260330-稻米香 · 湘菜小炒.pdf,260330-稻米香 · 湘菜小炒.pdf,新案例/260330-稻米香 · 湘菜小炒,4325754,33,7258011ddd474b97cf36f1e628d292e2afd77bfba3d5a78859ca944d5f5dfc85,NEW_CASE_FINAL,N007,稻米香·湘菜小炒,pages 1–33,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N007
/Users/chim/Codex开发项目/案例展示网站/新案例/260409-果壳里/260409-果壳里.pdf,新案例/260409-果壳里/260409-果壳里.pdf,260409-果壳里.pdf,新案例/260409-果壳里,3666797,30,79f106672f34b803003eab1c223a65c2c02c75bfc6fb028ad4a4e913c82b6c30,NEW_CASE_FINAL,N008,果壳里 Shell Nook,pages 1–30,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N008
/Users/chim/Codex开发项目/案例展示网站/新案例/260420-饭点时光/260420-饭点时光.pdf,新案例/260420-饭点时光/260420-饭点时光.pdf,260420-饭点时光.pdf,新案例/260420-饭点时光,5302100,40,336156cd0eb49321de698edff8e0e092f58f94cd46b67fefa24646ef5ddaeeb5,NEW_CASE_FINAL,N009,饭点时光,pages 1–40,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N009
/Users/chim/Codex开发项目/案例展示网站/新案例/260428-禾之伴/260428-禾之伴.pdf,新案例/260428-禾之伴/260428-禾之伴.pdf,260428-禾之伴.pdf,新案例/260428-禾之伴,4478416,28,578b707f10de64b0da50d36a49d97b156ae78b1dde5e87f0c5783503d663c29c,NEW_CASE_FINAL,N010,禾之伴 RURU Bite,pages 1–28,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N010
